Raw Data 		Experiment - HL60 _U937_Kokultur Bine _1_IL10_090113 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A4	Sample_3	2	3	41	3833866	71.67	16.70
A4	Sample_3	2	3	42	3912466	71.67	16.77
A4	Sample_3	2	3	43	3991050	71.67	16.79
A4	Sample_3	2	3	44	4069550	71.67	16.78
A4	Sample_3	2	3	45	4148150	71.67	16.84
A5	Sample_4	2	3	1	691600	71.79	16.88
A5	Sample_4	2	3	2	770133	71.64	16.91
A5	Sample_4	2	3	3	848716	71.64	16.95
A5	Sample_4	2	3	4	927233	71.67	16.87
A5	Sample_4	2	3	5	1005816	71.67	16.92
A5	Sample_4	2	3	6	1084316	71.67	16.87
A5	Sample_4	2	3	7	1162916	71.67	16.79
A5	Sample_4	2	3	8	1241416	71.67	16.80
A5	Sample_4	2	3	9	1320000	71.67	16.77
A5	Sample_4	2	3	10	1398500	71.67	16.90
A5	Sample_4	2	3	11	1477116	71.67	16.81
A5	Sample_4	2	3	12	1555700	71.67	16.85
A5	Sample_4	2	3	13	1634300	71.67	16.87
A5	Sample_4	2	3	14	1712900	71.67	16.86
A5	Sample_4	2	3	15	1791500	71.67	16.83
A5	Sample_4	2	3	16	1870000	71.67	16.89
A5	Sample_4	2	3	17	1948400	71.67	16.92
A5	Sample_4	2	3	18	2026883	71.67	16.88
A5	Sample_4	2	3	19	2105400	71.67	16.88
A5	Sample_4	2	3	20	2184000	71.67	16.86
A5	Sample_4	2	3	21	2262583	71.67	16.88
A5	Sample_4	2	3	22	2341200	71.67	16.84
A5	Sample_4	2	3	23	2419783	71.64	16.93
A5	Sample_4	2	3	24	2498383	71.67	16.91
A5	Sample_4	2	3	25	2576883	71.67	16.91
A5	Sample_4	2	3	26	2655483	71.67	41411
A5	Sample_4	2	3	27	2733983	71.67	41350
A5	Sample_4	2	3	28	2812583	71.67	17.00
A5	Sample_4	2	3	29	2891200	71.67	41564
A5	Sample_4	2	3	30	2969766	71.67	41625
A5	Sample_4	2	3	31	3048266	71.67	17.13
A5	Sample_4	2	3	32	3126683	71.67	17.22
A5	Sample_4	2	3	33	3205266	71.67	17.33
A5	Sample_4	2	3	34	3283766	71.67	17.46
A5	Sample_4	2	3	35	3362366	71.67	17.65
A5	Sample_4	2	3	36	3440966	71.67	41382
A5	Sample_4	2	3	37	3519566	71.67	18.70
A5	Sample_4	2	3	38	3598166	71.67	19.61
A5	Sample_4	2	3	39	3676750	71.67	20.86
A5	Sample_4	2	3	40	3755266	71.67	22.34
A5	Sample_4	2	3	41	3833866	71.67	23.73
A5	Sample_4	2	3	42	3912466	71.67	25.40
A5	Sample_4	2	3	43	3991050	71.67	26.91
A5	Sample_4	2	3	44	4069550	71.67	28.58
A5	Sample_4	2	3	45	4148150	71.67	30.17
A6	Sample_4	2	3	1	691600	71.79	27.93
A6	Sample_4	2	3	2	770133	71.64	28.23
A6	Sample_4	2	3	3	848716	71.64	28.27
A6	Sample_4	2	3	4	927233	71.67	28.22
A6	Sample_4	2	3	5	1005816	71.67	28.22
A6	Sample_4	2	3	6	1084316	71.67	28.20
A6	Sample_4	2	3	7	1162916	71.67	28.23
A6	Sample_4	2	3	8	1241416	71.67	28.25
A6	Sample_4	2	3	9	1320000	71.67	41606
A6	Sample_4	2	3	10	1398500	71.67	28.26
A6	Sample_4	2	3	11	1477116	71.67	28.23
A6	Sample_4	2	3	12	1555700	71.67	28.27
A6	Sample_4	2	3	13	1634300	71.67	28.35
A6	Sample_4	2	3	14	1712900	71.67	28.42
A6	Sample_4	2	3	15	1791500	71.67	28.50
A6	Sample_4	2	3	16	1870000	71.67	28.72
A6	Sample_4	2	3	17	1948400	71.67	28.91
A6	Sample_4	2	3	18	2026883	71.67	29.38
A6	Sample_4	2	3	19	2105400	71.67	30.24
A6	Sample_4	2	3	20	2184000	71.67	31.68
A6	Sample_4	2	3	21	2262583	71.67	34.15
A6	Sample_4	2	3	22	2341200	71.67	37.76
A6	Sample_4	2	3	23	2419783	71.64	42.36
A6	Sample_4	2	3	24	2498383	71.67	47.87
A6	Sample_4	2	3	25	2576883	71.67	53.68
A6	Sample_4	2	3	26	2655483	71.67	59.83
A6	Sample_4	2	3	27	2733983	71.67	65.64
A6	Sample_4	2	3	28	2812583	71.67	71.04
A6	Sample_4	2	3	29	2891200	71.67	75.59
A6	Sample_4	2	3	30	2969766	71.67	79.89
A6	Sample_4	2	3	31	3048266	71.67	83.41
A6	Sample_4	2	3	32	3126683	71.67	86.32
A6	Sample_4	2	3	33	3205266	71.67	88.80
A6	Sample_4	2	3	34	3283766	71.67	90.26
A6	Sample_4	2	3	35	3362366	71.67	91.56
A6	Sample_4	2	3	36	3440966	71.67	92.59
A6	Sample_4	2	3	37	3519566	71.67	93.33
A6	Sample_4	2	3	38	3598166	71.67	93.90
A6	Sample_4	2	3	39	3676750	71.67	94.47
A6	Sample_4	2	3	40	3755266	71.67	94.68
A6	Sample_4	2	3	41	3833866	71.67	94.94
A6	Sample_4	2	3	42	3912466	71.67	95.23
A6	Sample_4	2	3	43	3991050	71.67	95.27
A6	Sample_4	2	3	44	4069550	71.67	95.66
A6	Sample_4	2	3	45	4148150	71.67	95.95
A7	Sample_5	2	3	1	691600	71.79	15.37
A7	Sample_5	2	3	2	770133	71.64	15.47
A7	Sample_5	2	3	3	848716	71.64	15.41
A7	Sample_5	2	3	4	927233	71.67	15.42
A7	Sample_5	2	3	5	1005816	71.67	15.38
A7	Sample_5	2	3	6	1084316	71.67	15.41
A7	Sample_5	2	3	7	1162916	71.67	15.37
A7	Sample_5	2	3	8	1241416	71.67	15.38
A7	Sample_5	2	3	9	1320000	71.67	15.45
A7	Sample_5	2	3	10	1398500	71.67	15.49
A7	Sample_5	2	3	11	1477116	71.67	15.43
A7	Sample_5	2	3	12	1555700	71.67	15.50
A7	Sample_5	2	3	13	1634300	71.67	15.48
A7	Sample_5	2	3	14	1712900	71.67	15.49
A7	Sample_5	2	3	15	1791500	71.67	15.41
A7	Sample_5	2	3	16	1870000	71.67	15.52
A7	Sample_5	2	3	17	1948400	71.67	15.47
A7	Sample_5	2	3	18	2026883	71.67	15.54
A7	Sample_5	2	3	19	2105400	71.67	15.58
A7	Sample_5	2	3	20	2184000	71.67	15.55
A7	Sample_5	2	3	21	2262583	71.67	15.59
A7	Sample_5	2	3	22	2341200	71.67	15.60
A7	Sample_5	2	3	23	2419783	71.64	15.55
A7	Sample_5	2	3	24	2498383	71.67	15.64
A7	Sample_5	2	3	25	2576883	71.67	15.66
A7	Sample_5	2	3	26	2655483	71.67	15.59
A7	Sample_5	2	3	27	2733983	71.67	15.62
A7	Sample_5	2	3	28	2812583	71.67	15.60
A7	Sample_5	2	3	29	2891200	71.67	15.67
A7	Sample_5	2	3	30	2969766	71.67	15.70
A7	Sample_5	2	3	31	3048266	71.67	15.67
A7	Sample_5	2	3	32	3126683	71.67	15.68
A7	Sample_5	2	3	33	3205266	71.67	15.67
